title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
Microsoft Flight Simulator 40th Anniversary Edition,790000,win,,"17 Aug, 2020",Simulation,no,Asobo Studio,Asobo Studio,Single-player,45275,150.0,91,Very Positive
Darkest Dungeon® II,299999,win,,"8 May, 2023",Indie,no,Red Hook Studios,Red Hook Studios,Steam Achievements,7413,,82,Mostly Positive
Farlight 84,0,win,,"23 Apr, 2023",RPG,no,Farlight Games,Farlight Games,Full controller support,5285,10.0,,Very Positive
DARK SOULS™: REMASTERED,420000,win,,"23 May, 2018",Strategy,no,QLOC,Bandai Namco Entertainment,VR Supported,50804,8.0,84,Very Positive
Sniper Elite 5,209999,win,,"25 May, 2022",Action,no,Rebellion,Rebellion,In-App Purchases,8402,85.0,79,Mostly Positive
Cuphead,135999,win,,"29 Sep, 2017",Adventure,no,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,Single-player,121462,,88,Very Positive
Total War: WARHAMMER - Norsca,0,mac,-50%,"10 Aug, 2017",Free to Play,yes,CREATIVE ASSEMBLY,Total War,Steam Achievements,766,35.0,,Mostly Positive
Aseprite,108999,win,,"22 Feb, 2016",Massively Multiplayer,no,Feral Interactive (Linux),David Capello,Steam Trading Cards,10819,,,Overwhelmingly Positive
They Are Billions,219000,mac,,"18 Jun, 2019",Early Access,no,Feral Interactive (Mac),Numantian Games,Steam Cloud,38232,4.0,77,Very Positive
The Last Clockwinder,0,linux,-36%,"2 Jun, 2022",Action,no,David Capello,Pontoco,Online PvP,390,,,Very Positive
Biped,119999,win,,"26 Mar, 2020",Action,no,Numantian Games,NEXT Studios,Online Co-op,5033,8.0,74,Mostly Positive
Incredibox,48999,mac,,"30 Apr, 2021",Adventure,no,Pontoco,So Far So Good,Cross-Platform Multiplayer,2298,,,Overwhelmingly Positive
Jump King,99999,linux,,"3 May, 2019",Action,no,NEXT Studios,Nexile,Partial Controller Support,8991,,,Overwhelmingly Positive
SCUM Female Hair Pack,47499,win,,"11 May, 2023",Indie,yes,So Far So Good,Jagex Ltd,Single-player,22,,,Positive
Hellish Quart,145999,win,,"16 Feb, 2021",Action,no,Nexile,Kubold,Steam Achievements,5054,12.0,,Very Positive
DJMAX RESPECT V - GIRLS' FRONTLINE PACK,0,win,-80%,"9 Dec, 2020",Strategy,yes,Gamepires,NEOWIZ,Full controller support,150,,,Very Positive
SurrounDead,106999,win,,"24 Jun, 2022",Animation & Modeling,no,Kubold,PlaySurrounDead,Remote Play on Phone,2478,2.0,,Very Positive
