title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
Microsoft Flight Simulator 40th Anniversary Edition,790000,win,,"17 Aug, 2020",Simulation,no,Asobo Studio,Asobo Studio,"Single-player, Steam Achievements, Full controller support, VR Supported, In-App Purchases",45275,150.0,91,Very Positive
Darkest Dungeon® II,299999,win,,"8 May, 2023","Indie, RPG, Strategy",no,Red Hook Studios,Red Hook Studios,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud",7413,,82,Mostly Positive
Farlight 84,0,win,,"23 Apr, 2023","Action, Adventure, Free to Play, Massively Multiplayer, Early Access",no,Farlight Games,Farlight Games,"Online PvP, Online Co-op, Cross-Platform Multiplayer, Partial Controller Support",5285,10.0,,Very Positive
DARK SOULS™: REMASTERED,420000,win,,"23 May, 2018",Action,no,QLOC,Bandai Namco Entertainment,"Single-player, Steam Achievements, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",50804,8.0,84,Very Positive
Sniper Elite 5,209999,win,,"25 May, 2022","Action, Adventure",no,Rebellion,Rebellion,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud",8402,85.0,79,Mostly Positive
Cuphead,135999,"win, mac",,"29 Sep, 2017","Action, Indie",no,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,"Single-player, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together",121462,,88,Very Positive
Aseprite,108999,"win, mac, linux",,"22 Feb, 2016","Animation & Modeling, Design & Illustration, Game Development",no,David Capello,David Capello,,10819,,,Overwhelmingly Positive
They Are Billions,219000,win,,"18 Jun, 2019",Strategy,no,Numantian Games,Numantian Games,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on Tablet",38232,4.0,77,Very Positive
The Last Clockwinder,0,win,-36%,"2 Jun, 2022","Adventure, Indie, Simulation",no,Pontoco,Pontoco,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Captions available",390,,,Very Positive
Biped,119999,win,,"26 Mar, 2020","Action, Adventure, Casual, Indie, Simulation, Sports, Strategy",no,NEXT Studios,NEXT Studios,"Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on TV, Remote Play Together",5033,8.0,74,Mostly Positive
Incredibox,48999,"win, mac",,"30 Apr, 2021","Casual, Indie",no,So Far So Good,So Far So Good,"Single-player, Steam Trading Cards",2298,,,Overwhelmingly Positive
Jump King,99999,win,,"3 May, 2019","Action, Adventure, Indie",no,Nexile,Nexile,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",8991,,,Overwhelmingly Positive
Hellish Quart,145999,win,,"16 Feb, 2021","Action, Early Access",no,Kubold,Kubold,"Single-player, Shared/Split Screen PvP, Full controller support, VR Supported, Remote Play on Phone, Remote Play on Tablet, Remote Play Together",5054,12.0,,Very Positive
SurrounDead,106999,"win, linux",,"24 Jun, 2022","Action, Adventure, Indie, RPG, Early Access",no,PlaySurrounDead,PlaySurrounDead,"Single-player, Steam Cloud",2478,2.0,,Very Positive
LoveBeat,0,win,,"13 Jan, 2016","Action, Casual, Free to Play, Massively Multiplayer",no,"CRAZYDIAMOND CO., LTD.","CRAZYDIAMOND CO., LTD.","Online PvP, Steam Trading Cards, In-App Purchases",1398,20.0,,Mostly Positive
